"Table 02: Population by five year age groups, NPHC 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Area ,,,Wards,Five Years Age Groups,Total,Male,Female
,,,,,,,
KOSHI,,,,,,,
,Taplejung,,,,,,
,,Phaktanlung Gaunpalika,,,,,
,,,All,,,,
,,,,All Ages,11791,6088,5703
,,,,00-04 Yrs.,1015,555,460
,,,,05-09 Yrs.,1260,638,622
,,,,10-14 Yrs.,1158,574,584
,,,,15-19 Yrs.,1305,640,665
,,,,20-24 Yrs.,1212,626,586
,,,,25-29 Yrs.,1028,562,466
,,,,30-34 Yrs.,799,412,387
,,,,35-39 Yrs.,702,384,318
,,,,40-44 Yrs.,557,267,290
,,,,45-49 Yrs.,517,254,263
,,,,50-54 Yrs.,594,300,294
,,,,55-59 Yrs.,472,250,222
,,,,60-64 Yrs.,413,218,195
,,,,65-69 Yrs.,296,167,129
,,,,70-74 Yrs.,221,104,117
,,,,75-79 Yrs.,133,77,56
,,,,80-84 Yrs.,67,38,29
,,,,85-89 Yrs.,27,15,12
,,,,90-94 Yrs.,13,7,6
,,,,95+ Yrs.,2,0,2
,,,1,,,,
,,,,All Ages,1211,588,623
,,,,00-04 Yrs.,97,44,53
,,,,05-09 Yrs.,126,62,64
,,,,10-14 Yrs.,114,52,62
,,,,15-19 Yrs.,135,61,74
,,,,20-24 Yrs.,139,68,71
,,,,25-29 Yrs.,92,50,42
,,,,30-34 Yrs.,75,37,38
,,,,35-39 Yrs.,62,34,28
,,,,40-44 Yrs.,53,21,32
,,,,45-49 Yrs.,53,24,29
,,,,50-54 Yrs.,68,34,34
,,,,55-59 Yrs.,66,33,33
,,,,60-64 Yrs.,42,20,22
,,,,65-69 Yrs.,35,21,14
,,,,70-74 Yrs.,28,12,16
,,,,75-79 Yrs.,17,8,9
,,,,80-84 Yrs.,6,6,0
,,,,85-89 Yrs.,1,0,1
,,,,90-94 Yrs.,2,1,1
,,,,95+ Yrs.,0,0,0
,,,2,,,,
,,,,All Ages,2417,1240,1177
,,,,00-04 Yrs.,213,123,90
,,,,05-09 Yrs.,285,140,145
,,,,10-14 Yrs.,224,96,128
,,,,15-19 Yrs.,284,141,143
,,,,20-24 Yrs.,250,135,115
,,,,25-29 Yrs.,193,106,87
,,,,30-34 Yrs.,155,80,75
,,,,35-39 Yrs.,135,75,60
,,,,40-44 Yrs.,114,52,62
,,,,45-49 Yrs.,98,50,48
,,,,50-54 Yrs.,121,59,62
,,,,55-59 Yrs.,90,45,45
,,,,60-64 Yrs.,91,51,40
,,,,65-69 Yrs.,57,31,26
,,,,70-74 Yrs.,45,19,26
,,,,75-79 Yrs.,33,22,11
,,,,80-84 Yrs.,13,6,7
,,,,85-89 Yrs.,11,6,5
,,,,90-94 Yrs.,4,3,1
,,,,95+ Yrs.,1,0,1
,,,3,,,,
,,,,All Ages,2180,1145,1035
,,,,00-04 Yrs.,204,119,85
,,,,05-09 Yrs.,224,125,99
,,,,10-14 Yrs.,179,87,92
,,,,15-19 Yrs.,232,116,116
,,,,20-24 Yrs.,205,109,96
,,,,25-29 Yrs.,207,106,101
,,,,30-34 Yrs.,160,73,87
,,,,35-39 Yrs.,140,80,60
,,,,40-44 Yrs.,103,51,52
,,,,45-49 Yrs.,107,57,50
,,,,50-54 Yrs.,113,56,57
,,,,55-59 Yrs.,95,53,42
,,,,60-64 Yrs.,78,40,38
,,,,65-69 Yrs.,50,29,21
,,,,70-74 Yrs.,36,17,19
,,,,75-79 Yrs.,24,15,9
,,,,80-84 Yrs.,15,9,6
,,,,85-89 Yrs.,5,3,2
,,,,90-94 Yrs.,3,0,3
,,,,95+ Yrs.,0,0,0
,,,4,,,,
,,,,All Ages,2020,1025,995
,,,,00-04 Yrs.,151,82,69
