FID_1,Slope,Elevation,Curvature,Flow,Riverdist,Drianageden,Geology,Rainfall,SPI,TWI,CN,flood_label
0,1.689661,110.535135,-0.002344,17.201465,470.116814,0.472849,4,1458.956124,-5.126487,8.340174,79,1
1,1.47913,110.015267,0.00439,41.572409,136.361816,0.44971,4,1458.8622,-6.080705,8.253986,79,0
2,1.732994,110.340081,-0.000641,478.595596,241.111983,0.401828,4,1458.667447,-5.685058,8.584023,79.008876,1
3,1.162147,109.844765,0.004499,1867.655536,646.397122,0.310336,4,1458.696249,-6.736262,8.7943,79,0
4,1.962648,111.210773,0.021435,6.598086,1099.115732,0.1016,4,1458.203998,-4.8033,7.817486,79,1
5,1.508466,111.137602,-0.006919,2222.709459,788.02916,0.415029,4,1457.946712,-4.613454,9.350177,79,0
6,1.687978,111.204082,0.005614,19.722222,406.156613,0.604855,4,1457.903025,-5.999077,8.248748,79.334548,1
7,1.693947,109.9725,-0.0024,326.78,111.190163,0.562035,4,1457.807722,-3.975138,9.169938,79,0
8,2.034748,110.27625,-0.0096,48.03125,365.654518,0.473505,4,1457.737514,-4.776899,8.033329,79.005625,0
9,1.544858,110.269048,0.010667,43.833333,723.969158,0.364606,4,1457.747143,-5.019532,8.797419,79,0
10,1.336271,112.777778,0.023704,4.037037,1141.707705,0.011818,4,1457.379641,-7.439118,7.387316,79,0
11,1.525062,110.451123,-0.001276,66.718937,978.601255,0.204829,4,1457.434819,-3.449156,9.596075,79,0
12,1.424437,110.8025,-0.0076,2168.1325,577.496214,0.468097,4,1457.079846,-4.261085,9.465302,79,0
13,1.620789,111.059375,-0.0016,189.14625,190.742513,0.603866,4,1456.800224,-4.632717,8.679656,79.061875,1
14,1.735174,110.665,-0.0004,161.425,207.468468,0.605435,4,1456.63309,-4.803908,8.402071,79,1
15,1.517312,110.67875,0.0068,50.208125,578.212135,0.480717,4,1456.576583,-5.910326,8.398254,79,1
16,1.445245,110.276827,-0.016485,2348.092424,860.997393,0.312286,4,1456.668502,-5.40202,8.801453,79,1
17,1.782171,111.571429,0.071111,2.888889,1058.435777,0.093997,4,1457.060208,-4.342256,7.064643,79,1
18,1.6506,111.434559,0.006111,895.855903,701.830468,0.335158,4,1456.323613,-5.266146,8.420788,79,1
19,1.786772,111.790625,-0.0076,1576.600625,312.168015,0.522251,4,1455.881149,-4.829553,8.445787,79.75375,1
20,1.717555,112.77625,0.0112,59.2175,134.333392,0.636948,4,1455.595256,-6.279354,7.971474,80.788125,1
21,1.920135,111.173125,0,43.1275,487.537312,0.588742,4,1455.432432,-4.829037,7.920416,79.478125,1
