province,district,municipality,ward,gender,all_ages,00-04,05-09,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95+
Koshi,Taplejung,Phaktanlung Gaunpalika,All,all,11791,1015,1260,1158,1305,1212,1028,799,702,557,517,594,472,413,296,221,133,67,27,13,2
Koshi,Taplejung,Phaktanlung Gaunpalika,All,male,6088,555,638,574,640,626,562,412,384,267,254,300,250,218,167,104,77,38,15,7,0
Koshi,Taplejung,Phaktanlung Gaunpalika,All,female,5703,460,622,584,665,586,466,387,318,290,263,294,222,195,129,117,56,29,12,6,2
Koshi,Taplejung,Phaktanlung Gaunpalika,1,all,1211,97,126,114,135,139,92,75,62,53,53,68,66,42,35,28,17,6,1,2,0
Koshi,Taplejung,Phaktanlung Gaunpalika,1,male,588,44,62,52,61,68,50,37,34,21,24,34,33,20,21,12,8,6,0,1,0
Koshi,Taplejung,Phaktanlung Gaunpalika,1,female,623,53,64,62,74,71,42,38,28,32,29,34,33,22,14,16,9,0,1,1,0
Koshi,Taplejung,Phaktanlung Gaunpalika,2,all,2417,213,285,224,284,250,193,155,135,114,98,121,90,91,57,45,33,13,11,4,1
Koshi,Taplejung,Phaktanlung Gaunpalika,2,male,1240,123,140,96,141,135,106,80,75,52,50,59,45,51,31,19,22,6,6,3,0
Koshi,Taplejung,Phaktanlung Gaunpalika,2,female,1177,90,145,128,143,115,87,75,60,62,48,62,45,40,26,26,11,7,5,1,1
Koshi,Taplejung,Phaktanlung Gaunpalika,3,all,2180,204,224,179,232,205,207,160,140,103,107,113,95,78,50,36,24,15,5,3,0
Koshi,Taplejung,Phaktanlung Gaunpalika,3,male,1145,119,125,87,116,109,106,73,80,51,57,56,53,40,29,17,15,9,3,0,0
Koshi,Taplejung,Phaktanlung Gaunpalika,3,female,1035,85,99,92,116,96,101,87,60,52,50,57,42,38,21,19,9,6,2,3,0
Koshi,Taplejung,Phaktanlung Gaunpalika,4,all,2020,151,216,229,238,209,191,149,101,68,69,97,84,82,60,41,21,6,4,3,1
Koshi,Taplejung,Phaktanlung Gaunpalika,4,male,1025,82,101,106,116,111,106,87,52,32,36,42,42,43,32,19,10,4,2,2,0
Koshi,Taplejung,Phaktanlung Gaunpalika,4,female,995,69,115,123,122,98,85,62,49,36,33,55,42,39,28,22,11,2,2,1,1
Koshi,Taplejung,Phaktanlung Gaunpalika,5,all,1629,148,175,194,166,171,142,119,100,77,78,68,60,51,35,20,11,13,1,0,0
Koshi,Taplejung,Phaktanlung Gaunpalika,5,male,844,69,92,107,78,85,86,61,52,38,38,35,30,29,20,9,7,7,1,0,0
Koshi,Taplejung,Phaktanlung Gaunpalika,5,female,785,79,83,87,88,86,56,58,48,39,40,33,30,22,15,11,4,6,0,0,0
Koshi,Taplejung,Phaktanlung Gaunpalika,6,all,2147,191,216,205,242,229,187,126,137,123,103,117,69,60,53,47,23,14,4,1,0
Koshi,Taplejung,Phaktanlung Gaunpalika,6,male,1152,113,113,120,125,114,100,63,75,62,48,68,42,30,30,26,13,6,3,1,0
Koshi,Taplejung,Phaktanlung Gaunpalika,6,female,995,78,103,85,117,115,87,63,62,61,55,49,27,30,23,21,10,8,1,0,0
